_ID	Puzzle	Parent	Child
10	24	Mm-hmm	
10	24	Does that go with- Do you think that one goes at the top too?	
10	24		No
10	24	'Cause look, this is blue, and you see any blue up here?	
10	24		Maybe it goes, so, Now let's take them apart
10	24		Put that up ####
10	24	Hey	
10	24	Hey	
10	24		
10	24	Is that a kingfisher? Is that a kingfisher, I don't know	
10	24		Maybe it is a kingfisher
10	24	Mm-hmm	
10	24		A kingfisher, what's a kingfisher?
10	24	It's a- Hey, wait, didn't that piece hook on someplace? To that other, Didn't that hook on? Remember?	
10	24	Yep	
10	24	Right there	
10	24		
10	24	Ha ha	
10	24	Alright	
10	24	Now what part are you gonna work on?	
10	24		Hmm, what else? What else of the kingfisher?
10	24	Well, Does the kingfisher has, what's down here, do you think?	
10	24	What part is as the bottom of a fish? What? His tail, yeah, See a blue tail around here?	
10	24		His tail
10	24		His tail
10	24	You think it's blue?	
10	24	*noises*	
10	24		###
10	24	See any blue, what about	
10	24		Maybe this
10	24		Oh no no. Oh wait a minute, I think I'm still on the shark
10	24	Mmm, ###	
10	24	What about	
10	24		Well, this is gray
10	24	Mm-hmm	
10	24		So, this
10	24	But look at these are, You know what those are supposed to be?	
10	24		What?
10	24	I think those are barnacles. They're, It looks like they're sticking to another kind of a creature, 'cause I don't see any part of the shark that still isn't there. Do you?	
10	24		These are his gills?
10	24	Yes	
10	24	Those are his gills. I don't see ###-	
10	24		Let's make something knock him into the gills
10	24	To knock him into the gills? *noises*	
10	24		*noises*
10	24		###
10	24	Let me see that piece that your looking- look at this part. Do you see that color anywhere?	
10	24		That's for kingfisher
10	24	Okay	
10	24		kingfisher
10	24		
10	24	Ta-da! Hey, look at how long his tail is	
10	24	What do you think this sharky's gonna eat?	
10	24		###
10	24		Um
10	24		Maybe the fishies
10	24	Mm-hmm	
10	24	What about, what do- What color do you think is gonna be up here in this corner?	
10	24		I don't know
10	24	What color? What color is this?	
10	24	What color is this?	
10	24		Pink
10	24	Do you see a pink corner piece? *noises* got it	
10	24		
10	24		Do you even like the color pink?
10	24	I love pink. Do you like the color pink?	
10	24		No
10	24	What do you mean? Why not?	
10	24		I like, I like all the colors except pink or purple
10	24	Why don't you like pink and purple?	
10	24		'Cause
10	24	Why, you used to like pink	
10	24	*noises*	
10	24		No that one I said purple
10	24	What about this piece, look at this guy. Do you see any place where that might fit?	
10	24		
10	24	hmm?	
10	24	mmm	
10	24		*noises*
10	24		Are we still on the kingfisher?
10	24	Yeah, I was looking for a little blue piece right in there between these two	
10	24		I'm, I'll look for it
10	24	Alright	
10	24	well alright	
10	24	Check it out	
10	24		Well, well, well, wait, where's the blue thing?
10	24	Well I was looking at this piece before	
10	24	And you put it over here on the side, do you want to try it again?	
10	24		Where does it go?
10	24		maybe
10	24	*noises* ooh, no, turn it, See if you can, if you turn that one, see if it works over there with the blue	
10	24	*noises*	
10	24		
10	24		*noises*
10	24	*noises*	
10	24	*noises*	
10	24	Straight, this is straight, remember?	
10	24		Oh yeah
10	24	Remember how we talked about those straight edges go along the outside, right?	
10	24		###
10	24		*noises*
10	24		
10	24	*noises* *laughing* got it	
10	24	Who is this guy, remember?	
10	24		Ah
10	24	Ah, what kind of a creature is it?	
10	24		Um
10	24		A tuna?
10	24	A tuna?	
10	24		No
10	24	*laughing* *noises*	
10	24		*laughs*
10	24		### Wha- What are those ###
10	24	Not a tuna	
10	24	Lookit he's got these suckers on him, these little sucker things	
10	24	I think it's an octopus	
10	24		Oh yeah it's a octopus I forgot what it's called
10	24		
10	24	octopus	
10	24		I thought it was ### I forgot what was it called
10	24	*laughing*	
10	24	More octopus	
10	24		*noises*
10	24		Do do that *noises*
10	24	Okay, *noises*	
10	24		
10	24		*noises*
10	24	*noises*	
10	24	*laughing*	
10	24		You, you do a *noises* all the time
10	24	Okay	
10	24		Even when I- When I'm trying to get it in alright?
10	24	alright	
10	24	No I'm not hel- I'm only gonna do it when you put one in	
10	24	Is there any more orange? Do you see, lookit. Do you see a part with some, maybe some tentacles coming down there in the corner?	
10	24		Oh! ###
10	24	Where's the straight edge?	
10	24	Show me where the straight edge is on this one. Show mommy, which side is straight. Yeah. So that's gonna be along, maybe the bottom?	
10	24		*noises*
10	24	*noises*	
10	24	*noises*	
10	24		###
10	24		*noises*
10	24	*noises*	
10	24	*noises*	
10	24		*noises*
10	24		Mmm
10	24	*noises*	
10	24		Mmm
10	24	*noises*	
10	24		Mmm
10	24	It's gotta be close. Try it over this way a little bit. Straight edge along the straight edge	
10	24	*noises*- oh	
10	24		*noises*
10	24	*laughing* try it over here	
10	24		Can you try- do this one?
10	24	Okay let me see, Look, see my straight edge? See how nicely that goes? *noises* *laughing*	
10	24		
10	24		###
10	24	Do you see a corner piece, like, do you see a piece with two straight edges that might fit right there. Look around for a piece with two straight edges	
10	24		But I'm still on the crab
10	24	Alright	
10	24		
10	24	I'm still on the crab	
10	24		
10	24		We're- we got 1, 2, 3, 4, 5, 6, 7, 8
10	24	Eight pieces to go. We're two-thirds of the way done	
10	24		Eight pieces to go
10	24		Okay, I think this ###, This is a seahorse
10	24	Yep	
10	24		So, where does this piece
10	24	Well, is there a, is there a straight edge?	
10	24		I think yes
10	24	Hmm, hmm, I think this part has, this part will need a piece with two straight edges	
10	24	Is this a piece with two straight edges or just one straight edge?	
10	24		Two
10	24	Where would that go?	
10	24	mmm	
10	24		Oops
10	24	Yeah, Hmm, you think that might work there?	
10	24		Oh
10	24		No
10	24	Hmm? Well yeah but it, you put it into the corner nicely, is there another corner that might have that, that might take that piece? Do you have another free corner?	
10	24	NAME, Is this a free corner? Look, is that a free corner?	
10	24	*noises*	
10	24		
10	24		*noises*
10	24	*laughing* *noises*	
10	24	I wonder what- I wonder what this purple creature's gonna be	
10	24		*noises*
10	24	*laughing*	
10	24		
10	24	*noises*	
10	24	Whoa, what are those called, again?	
10	24		I don't know
10	24	Those are weird *noises*	
10	24	*noises* okay *laughing*	
10	24		*laughing*
10	24	*noises*	
10	24		###
10	24		
10	24	*noises*	
10	24	*laughing* *noises* That don't work	
10	24		*laughing*
10	24	That don't work, does it?	
10	24		But, but like *noises*
10	24	*gasp*	
10	24	*noises*	
10	24		*noises*
10	24	What do you think is sticking up into this part right there, what color do you think?	
10	24		*noises*
10	24		###
10	24	I think that part needs a straight edge	
10	24	I think that part needs a straight edge	
10	24	Right?	
10	24		I can't do-
10	24	Lookit, does this, which one of these has a straight edge? Which one? Has a straight edge, this one or this one?	
10	24		This one
10	24	'Kay, Try that one on the straight, Aah, does that work? It does work. What about this guy?	
10	24		
10	24		
10	24	*noises*	
10	24	This is a jellyfish, right? *noises* Remember we saw those?	
10	24	Sometimes they're clear. Remember when we saw those in Florida?	
10	24	Oh and look at this guy, what's that guy gonna be down below, what's that little head?	
10	24		Yeah
10	24		Seahorse
10	24	I love those seahorses, they're so cool	
10	24	What'cha doing?	
10	24		###
10	24	Uh	
10	24	Oh seahorse tail	
10	24		
10	24	Look at his little fins! Oh-	
10	24		He might be a baby
10	24	Maybe he's a baby. I don't know how you tell	
10	24	That looks like the little grass where they live, those little seahorses like to stay in the grass, right?	
10	24		
10	24		
10	24	Does that piece have a straight edge?	
10	24		No
10	24	Check again	
10	24	Check again	
10	24	Look at this	
10	24	See that straight edge? That might go down here	
10	24		No
10	24		Oh yeah, wait
10	24	*noises*	
10	24		
10	24	*noises*	
10	24	Hey look, we have another corner now, look. W- which one has a corner?	
10	24	*gasp*	
10	24		
10	24	*noises*	
10	24	Wow. There's that corner filled in	
10	24		W-Which one is this?
10	24	That guy is, oh, Umm	
10	24	I don't know, oh it's the barnacles piece. Barnacles	
10	24		###
10	24	That's really weird that those things are growing on that guy	
10	24	Isn't it? They grow, right on the f- on the fishes- oh, I see, it's the whale head. He's got some barnacles growing on his mouth. You're done!	
10	24		
10	24		
10	24	There it is!	
10	24		###
10	24	We did it	
10	24	You like this puzzle?	
10	24		Yeah
10	24	Which one is your favorite creature?	
10	24		
10	24		My favorite creature
10	24		Shark!
10	24	*laughing* you like the shark? Oh good	
10	24		Which one is the next one gonna be?
10	24	I wonder	
10	24		Ready for the next one, ready for the
10	24	Ooh	
10	48		
10	48		A jungle one!
10	48	Alright	
10	48	Okay, let's take these guys off-	
10	48		This is gonna be a hard one
10	48	Wow, why do you think?	
10	48	Why do you think it's gonna be hard?	
10	48	hmm?	
10	48		'Cause
10	48	Oh this has a lot of pieces, doesn't it?	
10	48		
10	48		I don't-
10	48		Maybe we should ###
10	48	This one has more pieces	
10	48	Where are you gonna start?	
10	48		Could you do them?
10	48	I can help you, I'm always helping you, right?	
10	48		Will you, from the start
10	48	Let's turn-	
10	48	Well I'll help- you know what I like to do when I do my puzzles, remember what I always do?	
10	48		Mmm
10	48	Don't I always start and do the outside first? So I can get all the straight edges done first?	
10	48		
10	48		No, can you do all of them?
10	48	Mm-hmm. Let's see, I'm gonna start with this beautiful butterfly	
10	48	See how they, they has a straight edge there?	
10	48	Yeah, now let's look for pieces like this	
10	48		Maybe it goes like this
10	48	Yeah, it could. It could go like that	
10	48	Here's another one	
10	48		Oh but that's a leopard part, This has m- way more pieces
10	48	###	
10	48	It does. Well we can do it, we've done pieces like, we've done puzzles like this together right?	
10	48		###
10	48	it's- There's a straight edge	
10	48		Will we have anything else to play with?
10	48	I don't know, there might be	
10	48	Now, you think that works, right like that? I don't either.	
10	48		No
10	48	Pull that puppy out, and, Okay, hold on, like, let me try mine. Can I try mine next to this guy?	
10	48		*noises*
10	48		*noises*
10	48		Yeah
10	48	Can I try one?	
10	48		You have to go like this
10	48	I'm looking, I'm trying-	
10	48		Y- you have to go like this *noises*
10	48	See how- can I try it?	
10	48	Let me show- Look, look. *noises* does that work?	
10	48		*noises*
10	48		No you have to go like this, take it apart and go
10	48		*noises*
10	48	*laughing*	
10	48	Alright, Okay	
10	48	Okay, see how that's straight?	
10	48	Now this one, it's gonna be either here, it's gon- maybe it's gonna be right there, try	
10	48	Straight	
10	48	Straight has to line up with straight, right? That straight edge	
10	48		
10	48		###
10	48	It has to keep going, the line has to keep going, the straight line has to keep going, hey! Where's the rest of my straight line?	
10	48	Where's the rest of my straight line? Try upside down so the straight lines match up	
10	48		Can you put it together
10	48	Lookit this, see look, see? Is that gonna be straight? Look look look, look. Straight, straight, straight! Yeah! We like to go- next to each other when we're- Oh! but that's not the right piece! *laughing*	
10	48	What about	
10	48	Ooh, what about this one?	
10	48	It looks like it's gonna be the right piece, but it's not. Here, try that one, Yay!	
10	48		Now I have my straight line
10	48	Now look, we've got a corner, see? ###	
10	48		Now I can do my-
10	48	*noises* let's see if it goes there *noises*	
10	48		Now I can have my more straight lines
10	48	Tr- Oh, yeah, there might be more straight line in there	
10	48		Now I can have my more straight
10	48	Now I can have my more straight lines	
10	48	###	
10	48	Yeah	
10	48		Now I'm gonna have even more straight
10	48	Now I'm gonna have even more straight lines	
10	48		Now I'm gonna put it down, now I'm gonna try
10	48	###	
10	48	I see straight line there too!	
10	48		I can't do it. I have to turn it around
10	48	Got it	
10	48		I got it
10	48	Hey, lookit, What are these?	
10	48	Are those mushrooms?	
10	48	Maybe they have to go- Maybe it has to go like this so the mushrooms can be growing out of the bottom	
10	48		
10	48	Hmm, right? They don't grow out of a side	
10	48		They are
10	48	Look at the tigers nose, wow, Let's build the tiger	
10	48		###
10	48	Let's build the tiger, I'll get the pieces	
10	48		###
10	48		But there's spots!
10	48		
10	48	I know- That's his nose	
10	48	Ooh, green eyes	
10	48	I'm gonna get all the tiger pieces together, then you do the tiger, okay?	
10	48	We didn't finish-	
10	48		Green
10	48	And I'll put this butterfly piece in there, Beautiful butterfly!	
10	48		
10	48		*noises* green eyes
10	48	the butterfly	
10	48		Green eyes
10	48	Look, look at this, *noises* Look at that, hey there's part of an eye	
10	48		
10	48		Green eye
10	48	Ooh, green eye, where's the other eye?	
10	48		
10	48		Green eye
10	48	###	
10	48		###
10	48	The other eye *noises* Tiger, tiger tiger	
10	48		
10	48		Mm- But there's spots
10	48	Yeah, there's a- Oh, you're right. It's not a tiger	
10	48		It's a leopard!
10	48	### And I'm saying the wrong one the whole time	
10	48	Where does the leopard's nose go?	
10	48		I think, you, you, but that, that, that, that was butterfly, tiger's like, um leopard's like, yeah
10	48	On top of his eyeballs?	
10	48	Okay, why is a nose above the eyes?	
10	48		*laughing*
10	48	*laughing*	
10	48		No, you have to say "yeah"
10	48	I have to say yeah *laughing* I want my nose beno- beneath my eyes please *laughing*	
10	48		Yeah
10	48		
10	48	Tank you very much	
10	48	Thank you very much	
10	48		
10	48		I want this up here
10	48		We're almost f- We're almost finished we got 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16
10	48		Sixteen more
10	48	Sixteen?	
10	48		Yeah, sixteen
10	48	hmm	
10	48	I see a part of his nose in that one	
10	48	Do you?	
10	48		### way more in this one
10	48		
10	48	### Tiger, Tiger, tiger, ###	
10	48	Not a tiger though, *laughing* try it right here 	
10	48	try it right there	
10	48		###
10	48		
10	48	###	
10	48		In the forest of the ###
10	48	###	
10	48		###
10	48	Here's some spots *gasp*	
10	48	And I- And I see a fuzzy ear, too	
10	48		###
10	48	###	
10	48		
10	48	*noises*	
10	48	Look at this little fuzzy ear	
10	48		*noises*
10	48	*noises* fuzzy ear	
10	48		Fuzzy ear, fuzzy ear, I will get the guzzy ear
10	48	fuzzy fuzzy guzzy ear	
10	48		
10	48		Fuzzy in the guzzy dear
10	48	dingy dingy dongy dear	
10	48		And the funny froggy ###
10	48	Speaking of froggies, Ribbit	
10	48	Speaking of froggies, Ribbit	
10	48		Speaking of froggies, ribbit
10	48	Speaking of froggies	
10	48	Speaking of froggies. I'm a corner. I'm a corner, put me in a corner, put me in a corner	
10	48	Mmm, That's not where I go	
10	48		No no the c- that that, put me in the corner
10	48	Put me in the corner	
10	48		Put me in the corner
10	48	Put me in the corner. Show me a corner	
10	48		
10	48		Nope
10	48	###	
10	48		Put me in a corner
10	48		Put me in the corner
10	48	*noises*	
10	48		
10	48	*laughing* *noises*	
10	48	Does you th- Do you th- What kinda Who- Who's, who's front hands are those?	
10	48		Daddy's
10	48	What?	
10	48		Yeah
10	48	Daddy doesn't have froggy hands	
10	48	Are those f- Are those a froggy's hands?	
10	48		Yeah
10	48	I think so too	
10	48		Put them together
10	48	Okay, where does it go?	
10	48		###
10	48		
10	48		Do we need another piece?
10	48	I think this might go here, put that guy down	
10	48	I wanna see if I can figure that one out	
10	48		'Kay, well you-
10	48	Mm-hmm	
10	48	###	
10	48		Wh-
10	48	###	
10	48		
10	48		Want my daddy, I really want my daddy I want my daddy I want my-
10	48		
10	48	Why are you saying that?	
10	48		No no, this guy's saying that
10	48	Oh yeah, where's his da-	
10	48		I want my daddy, I want my daddy, I want my daddy
10	48	*laughing*	
10	48	### *laughing*	
10	48		I want my daddy I want my daddy
10	48	I want my daddy	
10	48		I want my daddy, I really want- I want my daddy, I really, I really, I really want my daddy, I want my daddy
10	48	Where did that daddy go?	
10	48		
10	48	*laughing*	
10	48	Put daddy's hands on, below	
10	48	Where did daddy's hands go?	
10	48	Here- Oh there's one of a hand, there's one of those hands	
10	48	Oh here's the other one	
10	48	Look, see I bet his hands can go together ###	
10	48		Can you do these?
10	48	Mm- Oh look, there's another piece of hand	
10	48		*sigh*
10	48	Does that go there? Ta-da!	
10	48		
10	48		Ta-da!
10	48		
10	48	Ta-da!	
10	48		Ta-da
10	48		Ta-da
10	48		
10	48	Ta-da! *laughing* You're too far away	
10	48	What color do you think goes right in there?	
10	48		I think I don't need my daddy right now
10	48	He can just stay down there	
10	48	What about this guy?	
10	48		
10	48		My daddy can just stay down there
10	48	Mm-hmm	
10	48		He ### talk with the leopard
10	48	What do you notice about this piece?	
10	48	It's a corner piece, right?	
10	48	With an orchid	
10	48		What's a orchid?
10	48	It's that pink flower. Remember we got one of those from where ### a few weeks ago?	
10	48		Orchid
10	48	Where- W- When you see a corner like that, two straight sides, then what do you know? Where does it go? Does it go in the corner?	
10	48	Corner, right?	
10	48		*noises*
10	48	See how that fits in the- Look how that fits in so neatly, see? *noises* see that? There are no spaces there, right?	
10	48		
10	48	Do you think we can find the other corner piece that goes right there?	
10	48		We have to take this, this, this, this, this this this this this and we're all done
10	48	Mm-hmm	
10	48	*humming* What's this?	
10	48		
10	48	Oh, there's a-	
10	48		Hmmm
10	48		
10	48	Does this go- Is that part of an eye? Look, see if that's somebody's-	
10	48		
10	48		Tu- Is that a toucan?
10	48	I believe you are correct. I believe it is a toucan	
10	48		###
10	48	Yes you can, toucan. Yes you can, yes you can	
10	48		Toucan
10	48	Yes you toucan	
10	48		Yes you can, toucan
10	48	Yes you can tu- *laughing* Yes you can, toucan, Yes you can, toucan, ### Good, got it	
10	48		
10	48		
10	48	Where- ###	
10	48		Yes you can toucan, toucan
10	48	Yes you can, tucan, tucan	
10	48		Yes you can toucan toucan toucan toucan 
10	48		
10	48		How many more pieces do we need?
10	48	Oh, tons and tons	
10	48		A million, or a hundred?
10	48		
10	48		
10	48	About 95	
10	48		Ninety-f-
10	48	I think I'm almost doing the top. Does this toucan need a back over there? Oh!	
10	48		Toucan, toucan, toucan
10	48	Look at these two. Can you put two in at the same time?	
10	48		
10	48	Ta-da!	
10	48		Na-na
10	48	What about this part, this piece?	
10	48		*noises*
10	48	Hey, look at that one though, look at that guy, two straight	
10	48		*noises*
10	48	Two straight edges, in a corner!	
10	48		
10	48		Two str-
10	48		I- I'm
10	48		###
10	48	NAME Does this one have a straight edge?	
10	48	Or does it not have a straight edge?	
10	48		Not
10	48	Where do you think it does, Uh, does it go on the- on the outside or on the inside?	
10	48		I think
10	48	Oh the rim or on the inside?	
10	48		C- Can you do some for me?
10	48	Sure	
10	48	*noises*	
10	48	*noises*	
10	48		*noises*
10	48		
10	48	*humming*	
10	48		
10	48		
10	48		
10	48		
10	48		
10	48	See that straight edge right there?	
10	48	What does that straight edge tell you, right there, it goes along the edge, right?	
10	48		
10	48		*noises*
10	48	Straight	
10	48	NAME Is this one straight or bumpy on that side?	
10	48		Straight
10	48	So where does straight go?	
10	48	On the l- On the edge, yeah	
10	48		
10	48	Okay	
10	48		*noises*
10	48	Where is- We got one more piece with straight not bumpy on one side. Where is that?	
10	48	Is it underneath here?	
10	48		No
10	48		
10	48		
10	48		### Have 1, 2, 3, 4, 5, 6
10	48	Do you know- Where's that piece?	
10	48	*noises* ### that doesn't go there. Look at this crazy red ant *noises* Where's his head?	
10	48		*noises*
10	48		
10	48	Crazy red ant, Oh! ###	
10	48	*humming*	
10	48	Try it right there	
10	48	*humming* Aah, try- flip it around, flip that puppy around	
10	48		###
10	48		Uh, uh, *laughs*
10	48	###	
10	48		###
10	48	*humming* Look	
10	48	*humming*	
10	48	*humming*	
10	48		*humming*
10	48		
10	48	Hmm, Hey look, what's- Does this have one straight side?	
10	48	Where does one straight side go?	
10	48		On the edge
10	48	Yeah!	
10	48		Over here
10	48	Over here, Over here	
10	48		
10	48		Over here
10	48	Over here here here, There's some red stuff in there, Is th- Is there a piece with red stuff?	
10	48		This
10	48	*humming*	
10	48		Can you get the red one?
10	48	*noises* How come I can't get this?	
10	48		How come I can't get this?!
10	48	*laughing*	
10	48		
10	48	*gasp*	
10	48	*noises*	
10	48		
10	48		Now we got one more piece to go
10	48	Where does it go?	
10	48		*noises*
10	48	Wait I think it goes right here	
10	48		but, ta-da
10	48		It's over
10	48	Is that where it goes?	
10	48		No
10	48	Where does it go?	
10	48		It goe-
10	48	Where's the hole?	
10	48	###	
10	48		
10	48	Ta-da!	
10	48		
10	48	You did it!	
10	48	Do you like this one?	
10	48		Yeah, this one wa-
10	48	Which is your favorite creature on this one?	
10	48		Umm
10	48	Hey Lookit, Oh	
10	48	These guys are chewing up leaves, they're- those are those leaf-cutter ants, remember? ### This guy, what is he again?	
10	48		This one
10	48		A leopard
10	48		Let's go call her
10	48	Okay, you can go call her *noises* *kiss*	
10	48		Can you come?
10	48	Sure	
10	48		
			
			
			
			
			
			
			
11	48		###
11	48		
11	48	Okay, you see the picture? Okay, so we're gonna take 'em out and put 'em back together, okay?	
11	48		
11	48	Okay	
11	48		How I put 'em back
11	48	###	
11	48		###
11	48	Let's take 'em ###	
11	48	*laughing*	
11	48		###
11	48	Uh-oh we dropped one	
11	48		### I, I get one
11	48	You got it?	
11	48		I got one
11	48	Hmm	
11	48		The other one's on the floor
11	48		###
11	48	Mmkay	
11	48		###
11	48	You see it? It's over here	
11	48	You see it? You got it?	
11	48		###
11	48		Nope
11	48	There you go	
11	48		Where?
11	48	Mmm	
11	48		###
11	48	Okay	
11	48		### where is it
11	48	Mmm	
11	48		Where is it ### no Mommy I put it over there
11	48	Alright	
11	48	Okay	
11	48		###
11	48	Oh wait we gotta put it here so we can put it together	
11	48		*sounds*
11	48		Ribbit, ribbit
11	48	Okay, can you see?	
11	48		Mommy, ### Oh no mommy, I'm sorry, i'm s-
11	48	Hmm?	
11	48		
11	48	Uh-oh, one more	
11	48	Mommy dropped another one, can you go get that other one for Mommy, over there?	
11	48		Yep
11	48	Mmkay	
11	48	It's right here, it's under there	
11	48		### There's another one by your feet ###
11	48	No no no, come get it over here	
11	48	Right there, thank you	
11	48	Did you get that one?	
11	48	Okay	
11	48		By your shoes
11	48	I'm gonna put one on and you put one on	
11	48	Come on	
11	48		Mommy
11	48	Come here	
11	48		What, what I can s- I can s-
11	48	No, come here, come on so we can put it together	
11	48		But ### dad's gon' leave
11	48	Yeah, we don't want him to leave	
11	48	Okay, come on, climb on	
11	48		I wanna do it, can we do first
11	48	Yep, you put yours on, okay. What's that first one, what's that a frog? Okay wait le- leave it right here	
11	48		Ribbit!
11	48		*noises*
11	48	Okay, what piece is that, that's the end piece	
11	48		A log
11	48	So put it up here, let's put that one up here	
11	48	Is that with the, well we have to go around in our circle first	
11	48		Right there!
11	48	So let's see, NAME, put that up there in the corner	
11	48		*noises*
11	48		This goes ###
11	48	Do you think that one go down there?	
11	48		No, ribbit. Ribbit
11	48	Okay, let's see	
11	48		###
11	48	Oh wait, here go another piece like that, here go, look at this, where does that go?	
11	48		###
11	48		
11	48	Up there in that hole right there	
11	48	You think it go right there? Nope, not that one	
11	48		Nope, no it go right here
11	48	What about this one?	
11	48	You think it go right there?	
11	48		
11	48	Where do that one go?	
11	48		Yeah
11	48		Right there
11	48	Mmm, try it the other way	
11	48		Won't work
11	48	Ooh, well put it up here then	
11	48	What about right here?	
11	48		Wait, why did ###
11	48		
11	48	Oh yes! That one go right there	
11	48		Mommy I need ###
11	48	Okay, let's find some more flowers, let's find some more	
11	48	That look like that	
11	48		*noises*
11	48		*noises* ###
11	48	I don't think that one go right there	
11	48	### See some more flowers?	
11	48		Looks like more flower
11	48	I wanna see, Wait, stand up	
11	48		###
11	48	This one, look at this one, see if that one go, right he- up there	
11	48		
11	48	Yes, okay	
11	48		Aah
11	48	This one don't go there, I don't think that-	
11	48	It might go there, okay. Let's find another flower	
11	48		Mommy, here the log
11	48	Nope	
11	48		Mommy look!
11	48	I know but that don't go there though, that's a l- That don't go there, I don't think that go there. Nope, It don't go there, take that one out. Take that one out. And let's find another one that look like that	
11	48		Well
11	48		*noises*
11	48	What about this one	
11	48	Nope	
11	48		No
11	48		I told you, I don't want it to go there!
11	48	I told-	
11	48	I'm sorry	
11	48		It can't go there!
11	48		I told you it can't go there!
11	48	Mmkay	
11	48	Mm-mm, that don't go there	
11	48		Look
11	48	No, that don't go there	
11	48		Turn it around
11	48	Nope, Mm-mm	
11	48	You have to find another end like this one, try this one	
11	48		Wait ca-
11	48	Nope, not- That don't go there	
11	48	No, that one don't go there	
11	48		Wait, it can't fit!
11	48	Put that one over there	
11	48	Over here, up here	
11	48	The other way, turn it upside-down, yeah like that	
11	48	Nope, that don't go there either	
11	48		I told you
11	48	I know, well what about this one?	
11	48		It's a bug
11	48	It's a bug?	
11	48		Look
11	48	Oh-	
11	48	Hmm, mm-hmm	
11	48		and and *gasp* look, a flower I found a flower *noises*
11	48	Mmm, that just doesn't sound good at all, NAME	
11	48		Mom
11	48	Okay we gotta look for some more bottom pieces	
11	48		You don't love me. You don't love me
11	48	Yes, Stop that. That go in the corner, let's see if that go in that corner right there. Is that a frog?	
11	48		No
11	48		Ew!
